Entidad,Quintil,Año,Hombres,Mujeres,%_Hombres_quintil,%_Mujeres_quintil,%_hombres_sexo,%_mujeres_sexo,,,,,,,,,,
Morelos,I,2018,59867,89680,11.2,23.8,40.0,60.0,,,,,,,,,,
Nayarit,I,2018,38251,58344,10.9,24.0,39.6,60.4,,,,,,,,,,
Nuevo Leon,I,2018,64796,90036,4.3,10.1,41.8,58.2,,,,,,,,,,
Oaxaca,I,2018,299252,330110,28.6,43.7,47.5,52.5,,,,,,,,,,
Puebla,I,2018,204133,349350,12.2,30.1,36.9,63.1,,,,,,,,,,
Queretaro de Arteaga,I,2018,32789,59858,5.9,15.0,35.4,64.6,,,,,,,,,,
Quintana Roo,I,2018,30402,51662,5.8,15.6,37.0,63.0,,,,,,,,,,
San Luis Potosi,I,2018,119023,99076,15.9,21.2,54.6,45.4,,,,,,,,,,
Sinaloa,I,2018,56680,74295,6.9,14.8,43.3,56.7,,,,,,,,,,
Sonora,I,2018,58954,80153,6.9,14.6,42.4,57.6,,,,,,,,,,
Tabasco,I,2018,98188,158933,15.0,36.6,38.2,61.8,,,,,,,,,,
Tamaulipas,I,2018,69914,88462,7.4,14.8,44.1,55.9,,,,,,,,,,
Tlaxcala,I,2018,44526,61061,11.9,23.4,42.2,57.8,,,,,,,,,,
Veracruz-Llave,I,2018,424648,582495,19.3,39.3,42.2,57.8,,,,,,,,,,
Yucatan,I,2018,81991,159539,12.2,34.1,33.9,66.1,,,,,,,,,,
Zacatecas,I,2018,53784,56017,12.7,25.4,49.0,51.0,,,,,,,,,,
Nacional,II,2018,5926245,5299496,17.6,23.4,52.79,47.21,,,,,,,,,,
Aguascalientes,II,2018,43776,56822,11.9,22.6,43.5,56.5,,,,,,,,,,
Baja California,II,2018,74577,90980,20.3,36.2,45.0,55.0,,,,,,,,,,
Baja California Sur,II,2018,23908,22047,6.5,8.8,52.0,48.0,,,,,,,,,,
Campeche,II,2018,55623,39873,15.2,15.9,58.2,41.8,,,,,,,,,,
Chiapas,II,2018,76482,95126,20.9,37.8,44.6,55.4,,,,,,,,,,
Chihuahua,II,2018,25756,38082,7.0,15.1,40.3,59.7,,,,,,,,,,
Coahuila De Zaragoza,II,2018,495824,215416,135.2,85.7,69.7,30.3,,,,,,,,,,
Colima,II,2018,110720,122155,30.2,48.6,47.5,52.5,,,,,,,,,,
Distrito Federal,II,2018,235883,317490,64.3,126.3,42.6,57.4,,,,,,,,,,
Durango,II,2018,68263,66693,18.6,26.5,50.6,49.4,,,,,,,,,,
Guanajuato,II,2018,283659,278827,77.4,110.9,50.4,49.6,,,,,,,,,,
Guerrero,II,2018,239576,168469,65.3,67.0,58.7,41.3,,,,,,,,,,
Hidalgo,II,2018,185055,142235,50.5,56.6,56.5,43.5,,,,,,,,,,
Jalisco,II,2018,269082,357686,73.4,142.3,42.9,57.1,,,,,,,,,,
Mexico,II,2018,711176,815164,193.9,324.3,46.6,53.4,,,,,,,,,,
Michoacan de Ocampo,II,2018,243484,232061,66.4,92.3,51.2,48.8,,,,,,,,,,
Morelos,II,2018,116924,125155,31.9,49.8,48.3,51.7,,,,,,,,,,
Nayarit,II,2018,64954,57561,17.7,22.9,53.0,47.0,,,,,,,,,,
Nuevo Leon,II,2018,85209,117047,23.2,46.6,42.1,57.9,,,,,,,,,,
Oaxaca,II,2018,299107,191655,81.6,76.2,60.9,39.1,,,,,,,,,,
Puebla,II,2018,410659,370380,112.0,147.3,52.6,47.4,,,,,,,,,,
Queretaro de Arteaga,II,2018,55118,77340,15.0,30.8,41.6,58.4,,,,,,,,,,
Quintana Roo,II,2018,50996,47936,13.9,19.1,51.5,48.5,,,,,,,,,,
San Luis Potosi,II,2018,161283,104630,44.0,41.6,60.7,39.3,,,,,,,,,,
Sinaloa,II,2018,138241,115379,37.7,45.9,54.5,45.5,,,,,,,,,,
Sonora,II,2018,108082,109978,29.5,43.8,49.6,50.4,,,,,,,,,,
Tabasco,II,2018,166154,107717,45.3,42.9,60.7,39.3,,,,,,,,,,
Tamaulipas,II,2018,147083,117891,40.1,46.9,55.5,44.5,,,,,,,,,,
